"","country","year","cfr","e_inc_num"
"1","Afghanistan",2019,0.14,72000
"2","Albania",2019,0.02,470
"3","Algeria",2019,0.11,26000
"4","American Samoa",2019,0.08,1
"5","Andorra",2019,0.08,6
"6","Angola",2019,0.18,112000
"7","Anguilla",2019,0.41,3
"8","Argentina",2019,0.06,13000
"9","Armenia",2019,0.02,780
"10","Aruba",2019,0.08,2
"11","Australia",2019,0.03,1700
"12","Austria",2019,0.07,560
"13","Azerbaijan",2019,0.1,6000
"14","Bahamas",2019,0.05,59
"15","Bahrain",2019,0.05,200
"16","Bangladesh",2019,0.11,361000
"17","Belarus",2019,0.11,2800
"18","Belgium",2019,0.04,1000
"19","Belize",2019,0.11,100
"20","Benin",2019,0.2,6500
"21","Bermuda",2019,0.08,2
"22","Bhutan",2019,0.11,1300
"23","Bolivia (Plurinational State of)",2019,0.11,12000
"24","Bosnia and Herzegovina",2019,0.11,900
"25","Botswana",2019,0.31,5800
"26","Brazil",2019,0.07,96000
"27","British Virgin Islands",2019,0.08,1
"28","Brunei Darussalam",2019,0.05,280
"29","Bulgaria",2019,0.08,1400
"30","Burkina Faso",2019,0.25,9600
"31","Burundi",2019,0.23,12000
"32","Cabo Verde",2019,0.13,250
"33","Cambodia",2019,0.07,47000
"34","Cameroon",2019,0.28,46000
"35","Canada",2019,0.05,2100
"36","Cayman Islands",2019,0.08,4
"37","Central African Republic",2019,0.31,26000
"38","Chad",2019,0.23,23000
"39","Chile",2019,0.14,3300
"40","China",2019,0.04,833000
"41","China, Hong Kong SAR",2019,0.04,4700
"42","China, Macao SAR",2019,0.08,420
"43","Colombia",2019,0.1,18000
"44","Comoros",2019,0.28,300
"45","Congo",2019,0.26,20000
"46","Cook Islands",2019,0.08,2
"47","Costa Rica",2019,0.08,510
"48","Côte d'Ivoire",2019,0.23,35000
"49","Croatia",2019,0.12,330
"50","Cuba",2019,0.07,730
"51","Curaçao",2019,0.08,12
"52","Cyprus",2019,0.06,64
"53","Czechia",2019,0.07,530
"54","Democratic Republic of the Congo",2019,0.2,278000
"55","Denmark",2019,0.07,290
"56","Djibouti",2019,0.12,2300
"57","Dominica",2019,0.26,12
"58","Dominican Republic",2019,0.1,4500
"59","Ecuador",2019,0.1,7900
"60","Egypt",2019,0.04,12000
"61","El Salvador",2019,0.03,3800
"62","Equatorial Guinea",2019,0.22,2500
"63","Eritrea",2019,0.22,3000
"64","Estonia",2019,0.1,170
"65","Eswatini",2019,0.24,4200
"66","Ethiopia",2019,0.16,157000
"67","Fiji",2019,0.08,590
"68","Finland",2019,0.09,260
"69","France",2019,0.07,5700
"70","French Polynesia",2019,0.08,56
"71","Gabon",2019,0.22,11000
"72","Gambia",2019,0.17,3700
"73","Georgia",2019,0.06,3000
"74","Germany",2019,0.06,4900
"75","Ghana",2019,0.38,44000
"76","Greece",2019,0.11,450
"77","Greenland",2019,0.08,72
"78","Grenada",2019,0.54,3
"79","Guam",2019,0.08,91
"80","Guatemala",2019,0.09,4600
"81","Guinea",2019,0.17,22000
"82","Guinea-Bissau",2019,0.38,6900
"83","Guyana",2019,0.24,620
"84","Haiti",2019,0.1,19000
"85","Honduras",2019,0.16,3000
"86","Hungary",2019,0.05,610
"87","Iceland",2019,0.1,15
"88","India",2019,0.17,2640000
"89","Indonesia",2019,0.11,845000
"90","Iran (Islamic Republic of)",2019,0.09,11000
"91","Iraq",2019,0.05,16000
"92","Ireland",2019,0.07,280
"93","Israel",2019,0.06,250
"94","Italy",2019,0.08,4300
"95","Jamaica",2019,0.11,94
"96","Japan",2019,0.22,17000
"97","Jordan",2019,0.02,560
"98","Kazakhstan",2019,0.03,13000
"99","Kenya",2019,0.24,140000
"100","Kiribati",2019,0.09,510
"101","Kuwait",2019,0.04,910
"102","Kyrgyzstan",2019,0.05,7100
"103","Lao People's Democratic Republic",2019,0.2,11000
"104","Latvia",2019,0.1,490
"105","Lebanon",2019,0.08,870
"106","Lesotho",2019,0.36,14000
"107","Liberia",2019,0.25,15000
"108","Libya",2019,0.22,4000
"109","Lithuania",2019,0.1,1200
"110","Luxembourg",2019,0.02,55
"111","Madagascar",2019,0.2,63000
"112","Malawi",2019,0.27,27000
"113","Malaysia",2019,0.05,29000
"114","Maldives",2019,0.06,190
"115","Mali",2019,0.18,10000
"116","Malta",2019,0.06,60
"117","Marshall Islands",2019,0.11,280
"118","Mauritania",2019,0.19,4000
"119","Mauritius",2019,0.18,150
"120","Mexico",2019,0.09,30000
"121","Micronesia (Federated States of)",2019,0.11,110
"122","Mongolia",2019,0.03,14000
"123","Montenegro",2019,0.01,92
"124","Morocco",2019,0.08,35000
"125","Mozambique",2019,0.11,110000
"126","Myanmar",2019,0.13,174000
"127","Namibia",2019,0.23,12000
"128","Nauru",2019,0.08,20
"129","Nepal",2019,0.26,68000
"130","Netherlands",2019,0.03,860
"131","New Caledonia",2019,0.08,26
"132","New Zealand",2019,0.06,360
"133","Nicaragua",2019,0.05,2800
"134","Niger",2019,0.21,20000
"135","Nigeria",2019,0.37,440000
"136","North Macedonia",2019,0.09,250
"137","Northern Mariana Islands",2019,0.08,59
"138","Norway",2019,0.11,180
"139","occupied Palestinian territory, including east Jerusalem",2019,0.11,26
"140","Oman",2019,0.05,420
"141","Pakistan",2019,0.08,570000
"142","Palau",2019,0.08,7
"143","Panama",2019,0.17,1600
"144","Papua New Guinea",2019,0.12,38000
"145","Paraguay",2019,0.1,3300
"146","Peru",2019,0.07,39000
"147","Philippines",2019,0.05,599000
"148","Poland",2019,0.08,5700
"149","Portugal",2019,0.11,2000
"150","Puerto Rico",2019,0.13,41
"151","Qatar",2019,0.01,990
"152","Republic of Korea",2019,0.07,30000
"153","Republic of Moldova",2019,0.08,3200
"154","Romania",2019,0.07,13000
"155","Russian Federation",2019,0.14,73000
"156","Rwanda",2019,0.13,7200
"157","Saint Lucia",2019,0.45,7
"158","Saint Vincent and the Grenadines",2019,0.4,5
"159","Samoa",2019,0.08,21
"160","Sao Tome and Principe",2019,0.26,250
"161","Saudi Arabia",2019,0.23,3400
"162","Senegal",2019,0.16,19000
"163","Serbia",2019,0.04,1300
"164","Seychelles",2019,0.02,16
"165","Sierra Leone",2019,0.14,23000
