country,year,risk_factor,best
Afghanistan,2019,all,15000
Afghanistan,2019,all,7300
Afghanistan,2019,all,7800
Afghanistan,2019,all,2900
Afghanistan,2019,all,3400
Afghanistan,2019,all,7400
Afghanistan,2019,all,5600
Afghanistan,2019,all,57000
Afghanistan,2019,alc,520
Afghanistan,2019,alc,73
Afghanistan,2019,all,32000
Afghanistan,2019,all,25000
Afghanistan,2019,alc,350
Afghanistan,2019,dia,3200
Afghanistan,2019,dia,1800
Afghanistan,2019,dia,1400
Afghanistan,2019,all,7700
Afghanistan,2019,all,5700
Afghanistan,2019,all,4800
Afghanistan,2019,all,5200
Afghanistan,2019,all,4700
Afghanistan,2019,all,3300
Afghanistan,2019,all,4400
Afghanistan,2019,all,4400
Afghanistan,2019,all,4600
Afghanistan,2019,all,2500
Afghanistan,2019,all,2300
Afghanistan,2019,all,3000
Afghanistan,2019,all,72000
Afghanistan,2019,hiv,660
Afghanistan,2019,und,28000
Afghanistan,2019,all,39000
Afghanistan,2019,all,33000
Albania,2019,all,13
Albania,2019,all,5
Albania,2019,all,8
Albania,2019,all,0
Albania,2019,all,5
Albania,2019,all,20
Albania,2019,all,48
Albania,2019,all,460
Albania,2019,alc,54
Albania,2019,smk,62
Albania,2019,alc,6
Albania,2019,smk,5
Albania,2019,all,130
Albania,2019,all,330
Albania,2019,alc,59
Albania,2019,smk,69
Albania,2019,dia,16
Albania,2019,dia,4
Albania,2019,dia,11
Albania,2019,all,28
Albania,2019,all,64
Albania,2019,all,12
Albania,2019,all,47
Albania,2019,all,21
Albania,2019,all,32
Albania,2019,all,5
Albania,2019,all,3
Albania,2019,all,17
Albania,2019,all,55
Albania,2019,all,38
Albania,2019,all,79
Albania,2019,all,470
Albania,2019,hiv,11
Albania,2019,und,56
Albania,2019,all,140
Albania,2019,all,330
Algeria,2019,all,2000
Algeria,2019,all,940
Algeria,2019,all,1100
Algeria,2019,all,510
Algeria,2019,all,620
Algeria,2019,all,2500
Algeria,2019,all,2700
Algeria,2019,all,24000
Algeria,2019,alc,440
Algeria,2019,smk,1800
Algeria,2019,alc,0
Algeria,2019,smk,50
Algeria,2019,all,9900
Algeria,2019,all,14000
Algeria,2019,alc,480
Algeria,2019,smk,1900
Algeria,2019,dia,1400
Algeria,2019,dia,580
Algeria,2019,dia,820
Algeria,2019,all,2300
Algeria,2019,all,3800
Algeria,2019,all,1500
Algeria,2019,all,2900
Algeria,2019,all,1000
Algeria,2019,all,1900
Algeria,2019,all,440
Algeria,2019,all,440
Algeria,2019,all,860
Algeria,2019,all,1300
Algeria,2019,all,1700
Algeria,2019,all,1700
Algeria,2019,all,26000
Algeria,2019,hiv,280
Algeria,2019,und,2100
Algeria,2019,all,11000
Algeria,2019,all,15000
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,1
American Samoa,2019,all,1
American Samoa,2019,all,1
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,1
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,1
American Samoa,2019,all,0
American Samoa,2019,all,0
American Samoa,2019,all,1
American Samoa,2019,all,1
American Samoa,2019,all,1
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,6
Andorra,2019,alc,0
Andorra,2019,smk,0
Andorra,2019,alc,0
Andorra,2019,smk,0
Andorra,2019,all,1
Andorra,2019,all,5
Andorra,2019,alc,0
Andorra,2019,smk,0
Andorra,2019,dia,0
Andorra,2019,dia,0
Andorra,2019,dia,0
Andorra,2019,all,1
Andorra,2019,all,1
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,0
Andorra,2019,all,1
Andorra,2019,all,0
Andorra,2019,all,2
Andorra,2019,all,6
Andorra,2019,all,1
Andorra,2019,all,5
Angola,2019,all,16000
Angola,2019,all,7500
Angola,2019,all,8200
Angola,2019,all,3100
Angola,2019,all,3800
Angola,2019,all,10000
Angola,2019,all,13000
Angola,2019,all,96000
Angola,2019,alc,12000
Angola,2019,alc,1500
Angola,2019,all,39000
Angola,2019,all,57000
Angola,2019,alc,11000
Angola,2019,dia,3800
Angola,2019,dia,1500
Angola,2019,dia,2300
Angola,2019,all,9600
Angola,2019,all,15000
Angola,2019,all,7500
Angola,2019,all,12000
Angola,2019,all,5500
Angola,2019,all,8000
Angola,2019,all,4400
Angola,2019,all,4400
Angola,2019,all,3300
Angola,2019,all,4900
Angola,2019,all,2800
Angola,2019,all,4000
Angola,2019,all,112000
Angola,2019,hiv,7700
Angola,2019,und,40000
Angola,2019,all,47000
Angola,2019,all,65000
Anguilla,2019,all,0
Anguilla,2019,all,0
Anguilla,2019,all,0
Anguilla,2019,all,0
Anguilla,2019,all,0
Anguilla,2019,all,0
Anguilla,2019,all,0
Anguilla,2019,all,0
Anguilla,2019,all,0
