"","country","year","risk_factor","totalcase"
"1","Afghanistan",2019,"alc",943
"2","Albania",2019,"alc",119
"3","Algeria",2019,"alc",920
"4","Andorra",2019,"alc",0
"5","Angola",2019,"alc",24500
"6","Antigua and Barbuda",2019,"alc",0
"7","Argentina",2019,"alc",3330
"8","Armenia",2019,"alc",201
"9","Australia",2019,"alc",308
"10","Austria",2019,"alc",230
"11","Azerbaijan",2019,"alc",1439
"12","Bahamas",2019,"alc",13
"13","Bahrain",2019,"alc",14
"14","Bangladesh",2019,"alc",12880
"15","Barbados",2019,"alc",0
"16","Belarus",2019,"alc",1695
"17","Belgium",2019,"alc",316
"18","Belize",2019,"alc",30
"19","Benin",2019,"alc",1590
"20","Bhutan",2019,"alc",104
"21","Bolivia (Plurinational State of)",2019,"alc",3130
"22","Bosnia and Herzegovina",2019,"alc",226
"23","Botswana",2019,"alc",1516
"24","Brazil",2019,"alc",18200
"25","Brunei Darussalam",2019,"alc",26
"26","Bulgaria",2019,"alc",399
"27","Burkina Faso",2019,"alc",771
"28","Burundi",2019,"alc",3110
"29","Cabo Verde",2019,"alc",68
"30","Cambodia",2019,"alc",9850
"31","Cameroon",2019,"alc",11900
"32","Canada",2019,"alc",602
"33","Central African Republic",2019,"alc",3780
"34","Chad",2019,"alc",710
"35","Chile",2019,"alc",859
"36","China",2019,"alc",164200
"37","Colombia",2019,"alc",5000
"38","Comoros",2019,"alc",9
"39","Congo",2019,"alc",1772
"40","Cook Islands",2019,"alc",0
"41","Costa Rica",2019,"alc",139
"42","Côte d'Ivoire",2019,"alc",12300
"43","Croatia",2019,"alc",78
"44","Cuba",2019,"alc",214
"45","Cyprus",2019,"alc",15
"46","Czechia",2019,"alc",147
"47","Democratic People's Republic of Korea",2019,"alc",19760
"48","Democratic Republic of the Congo",2019,"alc",51300
"49","Denmark",2019,"alc",83
"50","Djibouti",2019,"alc",80
"51","Dominica",2019,"alc",2
"52","Dominican Republic",2019,"alc",1210
"53","Ecuador",2019,"alc",2130
"54","Egypt",2019,"alc",730
"55","El Salvador",2019,"alc",949
"56","Equatorial Guinea",2019,"alc",601
"57","Eritrea",2019,"alc",261
"58","Estonia",2019,"alc",77
"59","Eswatini",2019,"alc",1084
"60","Ethiopia",2019,"alc",15520
"61","Fiji",2019,"alc",95
"62","Finland",2019,"alc",86
"63","France",2019,"alc",1590
"64","Gabon",2019,"alc",2870
"65","Gambia",2019,"alc",175
"66","Georgia",2019,"alc",600
"67","Germany",2019,"alc",1420
"68","Ghana",2019,"alc",6850
"69","Greece",2019,"alc",122
"70","Grenada",2019,"alc",0
"71","Guatemala",2019,"alc",1050
"72","Guinea",2019,"alc",710
"73","Guinea-Bissau",2019,"alc",315
"74","Guyana",2019,"alc",181
"75","Haiti",2019,"alc",4710
"76","Honduras",2019,"alc",788
"77","Hungary",2019,"alc",391
"78","Iceland",2019,"alc",2
"79","India",2019,"alc",492800
"80","Indonesia",2019,"alc",28000
"81","Iran (Islamic Republic of)",2019,"alc",450
"82","Iraq",2019,"alc",275
"83","Ireland",2019,"alc",91
"84","Israel",2019,"alc",60
"85","Italy",2019,"alc",260
"86","Jamaica",2019,"alc",15
"87","Japan",2019,"alc",2520
"88","Jordan",2019,"alc",6
"89","Kazakhstan",2019,"alc",3130
"90","Kenya",2019,"alc",22790
"91","Kiribati",2019,"alc",87
"92","Kuwait",2019,"alc",16
"93","Kyrgyzstan",2019,"alc",1650
"94","Lao People's Democratic Republic",2019,"alc",2340
"95","Latvia",2019,"alc",263
"96","Lebanon",2019,"alc",238
"97","Lesotho",2019,"alc",3120
"98","Liberia",2019,"alc",2850
"99","Libya",2019,"alc",54
"100","Lithuania",2019,"alc",494
"101","Luxembourg",2019,"alc",15
"102","Madagascar",2019,"alc",6650
"103","Malawi",2019,"alc",3550
"104","Malaysia",2019,"alc",4030
"105","Maldives",2019,"alc",20
"106","Mali",2019,"alc",370
"107","Malta",2019,"alc",9
"108","Mauritania",2019,"alc",72
"109","Mauritius",2019,"alc",33
"110","Mexico",2019,"alc",3099
"111","Micronesia (Federated States of)",2019,"alc",17
"112","Mongolia",2019,"alc",3970
"113","Montenegro",2019,"alc",23
"114","Morocco",2019,"alc",699
"115","Mozambique",2019,"alc",11680
"116","Myanmar",2019,"alc",12460
"117","Namibia",2019,"alc",2980
"118","Nauru",2019,"alc",3
"119","Nepal",2019,"alc",5590
"120","Netherlands",2019,"alc",58
"121","New Zealand",2019,"alc",58
"122","Nicaragua",2019,"alc",688
"123","Niger",2019,"alc",640
"124","Nigeria",2019,"alc",11170
"125","Niue",2019,"alc",0
"126","North Macedonia",2019,"alc",58
"127","Norway",2019,"alc",47
"128","Oman",2019,"alc",6
"129","Pakistan",2019,"alc",9080
"130","Palau",2019,"alc",0
"131","Panama",2019,"alc",419
"132","Papua New Guinea",2019,"alc",5830
"133","Paraguay",2019,"alc",899
"134","Peru",2019,"alc",12900
"135","Philippines",2019,"alc",126300
"136","Poland",2019,"alc",2820
"137","Portugal",2019,"alc",555
"138","Qatar",2019,"alc",13
"139","Republic of Korea",2019,"alc",14800
"140","Republic of Moldova",2019,"alc",859
"141","Romania",2019,"alc",1670
"142","Russian Federation",2019,"alc",47000
"143","Rwanda",2019,"alc",2112
"144","Saint Kitts and Nevis",2019,"alc",0
"145","Saint Lucia",2019,"alc",0
"146","Saint Vincent and the Grenadines",2019,"alc",0
"147","Samoa",2019,"alc",3
"148","Sao Tome and Principe",2019,"alc",60
"149","Saudi Arabia",2019,"alc",51
"150","Senegal",2019,"alc",620
"151","Serbia",2019,"alc",304
"152","Seychelles",2019,"alc",4
"153","Sierra Leone",2019,"alc",3130
"154","Singapore",2019,"alc",123
"155","Slovakia",2019,"alc",82
"156","Slovenia",2019,"alc",52
"157","Solomon Islands",2019,"alc",78
"158","Somalia",2019,"alc",570
"159","South Africa",2019,"alc",92200
"160","Spain",2019,"alc",296
"161","Sri Lanka",2019,"alc",1923
"162","Sudan",2019,"alc",1569
"163","Suriname",2019,"alc",45
"164","Sweden",2019,"alc",206
"165","Switzerland",2019,"alc",157
"166","Syrian Arab Republic",2019,"alc",77
"167","Tajikistan",2019,"alc",302
"168","Thailand",2019,"alc",24600
"169","Timor-Leste",2019,"alc",488
"170","Togo",2019,"alc",1043
"171","Tonga",2019,"alc",1
"172","Trinidad and Tobago",2019,"alc",69
"173","Tunisia",2019,"alc",106
"174","Turkey",2019,"alc",2700
"175","Turkmenistan",2019,"alc",618
"176","Tuvalu",2019,"alc",5
"177","Uganda",2019,"alc",21100
"178","Ukraine",2019,"alc",8820
"179","United Arab Emirates",2019,"alc",2
"180","United Kingdom of Great Britain and Northern Ireland",2019,"alc",1760
"181","United Republic of Tanzania",2019,"alc",33900
