"","Country","Year","Disease","Value"
"1","Afghanistan",2019,"Tuberculosis",41.1
"2","Afghanistan",2019,"STDs excluding HIV",0.2
"3","Afghanistan",2019,"HIV/AIDS",1.7
"4","Afghanistan",2019,"Diarrhoeal diseases",9.7
"5","Afghanistan",2019,"Childhood-cluster diseases",6.5
"6","Afghanistan",2019,"Meningitis",5.2
"7","Afghanistan",2019,"Encephalitis",4.6
"8","Afghanistan",2019,"Hepatitis",10.5
"9","Afghanistan",2019,"Parasitic and vector diseases",3.3
"10","Afghanistan",2019,"Intestinal nematode infections",0
"11","Afghanistan",2019,"Other infectious diseases",13.7
"12","Afghanistan",2019,"Lower respiratory infections",49.8
"13","Afghanistan",2019,"Upper respiratory infections",0
"14","Afghanistan",2019,"Otitis media",0
"15","Afghanistan",2019,"Preterm birth complications",12.1
"16","Afghanistan",2019,"Birth asphyxia and birth trauma",10.2
"17","Afghanistan",2019,"Neonatal sepsis and infections",5.4
"18","Afghanistan",2019,"Other neonatal conditions",2.9
"19","Afghanistan",2019,"Protein-energy malnutrition",1.4
"20","Afghanistan",2019,"Other nutritional deficiencies",0.1
"21","Afghanistan",2019,"Mouth and oropharynx cancers",8.2
"22","Afghanistan",2019,"Oesophagus cancer",8.8
"23","Afghanistan",2019,"Stomach cancer",10.4
"24","Afghanistan",2019,"Colon and rectum cancers",4.1
"25","Afghanistan",2019,"Liver cancer",4.2
"26","Afghanistan",2019,"Pancreas cancer",1.5
"27","Afghanistan",2019,"Trachea, bronchus, lung cancers",6.9
"28","Afghanistan",2019,"Melanoma and other skin cancers",1
"29","Afghanistan",2019,"Breast cancer",10.1
"30","Afghanistan",2019,"Cervix uteri cancer",2.8
"31","Afghanistan",2019,"Corpus uteri cancer",1.9
"32","Afghanistan",2019,"Ovary cancer",2
"33","Afghanistan",2019,"Prostate cancer",2.1
"34","Afghanistan",2019,"Testicular cancer",0.2
"35","Afghanistan",2019,"Kidney cancer",1.3
"36","Afghanistan",2019,"Bladder cancer",2
"37","Afghanistan",2019,"Brain and nervous system cancers",3.3
"38","Afghanistan",2019,"Gallbladder and biliary tract cancer",0.9
"39","Afghanistan",2019,"Larynx cancer",1.1
"40","Afghanistan",2019,"Thyroid cancer",0.3
"41","Afghanistan",2019,"Mesothelioma",0
"42","Afghanistan",2019,"Lymphomas, multiple myeloma",4.3
"43","Afghanistan",2019,"Leukaemia",2
"44","Afghanistan",2019,"Other malignant neoplasms",10
"45","Afghanistan",2019,"Thalassaemias",0.3
"46","Afghanistan",2019,"Sickle cell disorders and trait",0.6
"47","Afghanistan",2019,"Other haemoglobinopathies and haemolytic anaemias",0.4
"48","Afghanistan",2019,"Other endocrine, blood and immune disorders",3
"49","Afghanistan",2019,"Alcohol use disorders",0.7
"50","Afghanistan",2019,"Drug use disorders",1.4
"51","Afghanistan",2019,"Eating disorders",0
"52","Afghanistan",2019,"Alzheimer disease and other dementias",22.3
"53","Afghanistan",2019,"Parkinson disease",6
"54","Afghanistan",2019,"Epilepsy",2.7
"55","Afghanistan",2019,"Multiple sclerosis",0.4
"56","Afghanistan",2019,"Other neurological conditions",0.6
"57","Afghanistan",2019,"Rheumatic heart disease",5.9
"58","Afghanistan",2019,"Hypertensive heart disease",65.9
"59","Afghanistan",2019,"Ischaemic heart disease",301.7
"60","Afghanistan",2019,"Stroke",149.1
"61","Afghanistan",2019,"Cardiomyopathy, myocarditis, endocarditis",3.3
"62","Afghanistan",2019,"Other circulatory diseases",17.5
"63","Afghanistan",2019,"Chronic obstructive pulmonary disease",37
"64","Afghanistan",2019,"Asthma",24.2
"65","Afghanistan",2019,"Other respiratory diseases",1.6
"66","Afghanistan",2019,"Peptic ulcer disease",10.6
"67","Afghanistan",2019,"Cirrhosis of the liver",27.2
"68","Afghanistan",2019,"Appendicitis",1.5
"69","Afghanistan",2019,"Gastritis and duodenitis",0.3
"70","Afghanistan",2019,"Paralytic ileus and intestinal obstruction",3.4
"71","Afghanistan",2019,"Inflammatory bowel disease",0.4
"72","Afghanistan",2019,"Gallbladder and biliary diseases",2.6
"73","Afghanistan",2019,"Pancreatitis",1.5
"74","Afghanistan",2019,"Other digestive diseases",2.6
"75","Afghanistan",2019,"Kidney diseases",46.1
"76","Afghanistan",2019,"Urolithiasis",0.1
"77","Afghanistan",2019,"Other urinary diseases",0.9
"78","Afghanistan",2019,"Gynecological diseases",0
"79","Afghanistan",2019,"Rheumatoid arthritis",0.2
"80","Afghanistan",2019,"Other musculoskeletal disorders",0.7
"81","Afghanistan",2019,"Neural tube defects",1.1
"82","Afghanistan",2019,"Cleft lip and cleft palate",0
"83","Afghanistan",2019,"Down syndrome",0.2
"84","Afghanistan",2019,"Congenital heart anomalies",2.3
"85","Afghanistan",2019,"Other chromosomal anomalies",0.1
"86","Afghanistan",2019,"Other congenital anomalies",2.7
"87","Afghanistan",2019,"Road injury",19.8
"88","Afghanistan",2019,"Poisonings",1.6
"89","Afghanistan",2019,"Falls",5.1
"90","Afghanistan",2019,"Fire, heat and hot substances",1.6
"91","Afghanistan",2019,"Drowning",2.8
"92","Afghanistan",2019,"Exposure to mechanical forces",5.7
"93","Afghanistan",2019,"Natural disasters",0.6
"94","Afghanistan",2019,"Other unintentional injuries",13
"95","Afghanistan",2019,"Self-harm",6
"96","Afghanistan",2019,"Interpersonal violence",9.9
"97","Afghanistan",2019,"Collective violence and legal intervention",121.6
"98","Albania",2019,"Tuberculosis",0.3
"99","Albania",2019,"STDs excluding HIV",0
"100","Albania",2019,"HIV/AIDS",0.9
"101","Albania",2019,"Diarrhoeal diseases",0.3
"102","Albania",2019,"Childhood-cluster diseases",0.2
"103","Albania",2019,"Meningitis",0.4
"104","Albania",2019,"Encephalitis",0.6
"105","Albania",2019,"Hepatitis",0
"106","Albania",2019,"Parasitic and vector diseases",0
"107","Albania",2019,"Other infectious diseases",0.9
"108","Albania",2019,"Lower respiratory infections",13.7
"109","Albania",2019,"Upper respiratory infections",0.3
"110","Albania",2019,"Otitis media",0
"111","Albania",2019,"Preterm birth complications",4.3
"112","Albania",2019,"Birth asphyxia and birth trauma",1.3
"113","Albania",2019,"Neonatal sepsis and infections",0.4
"114","Albania",2019,"Other neonatal conditions",0.7
"115","Albania",2019,"Protein-energy malnutrition",0.1
"116","Albania",2019,"Other nutritional deficiencies",0
"117","Albania",2019,"Mouth and oropharynx cancers",1.9
"118","Albania",2019,"Oesophagus cancer",1
"119","Albania",2019,"Stomach cancer",10.7
"120","Albania",2019,"Colon and rectum cancers",4.3
"121","Albania",2019,"Liver cancer",9
"122","Albania",2019,"Pancreas cancer",4.8
"123","Albania",2019,"Trachea, bronchus, lung cancers",21.5
"124","Albania",2019,"Melanoma and other skin cancers",1.4
"125","Albania",2019,"Breast cancer",5.5
"126","Albania",2019,"Cervix uteri cancer",1.1
"127","Albania",2019,"Corpus uteri cancer",0.9
"128","Albania",2019,"Ovary cancer",0.9
"129","Albania",2019,"Prostate cancer",6
"130","Albania",2019,"Testicular cancer",0.3
"131","Albania",2019,"Kidney cancer",2.4
"132","Albania",2019,"Bladder cancer",6.6
"133","Albania",2019,"Brain and nervous system cancers",5.9
"134","Albania",2019,"Gallbladder and biliary tract cancer",0.9
"135","Albania",2019,"Larynx cancer",2
"136","Albania",2019,"Thyroid cancer",0.3
"137","Albania",2019,"Mesothelioma",0.2
"138","Albania",2019,"Lymphomas, multiple myeloma",1.6
"139","Albania",2019,"Leukaemia",3.3
"140","Albania",2019,"Other malignant neoplasms",7.7
"141","Albania",2019,"Thalassaemias",0.1
"142","Albania",2019,"Sickle cell disorders and trait",0
"143","Albania",2019,"Other haemoglobinopathies and haemolytic anaemias",0.3
"144","Albania",2019,"Other endocrine, blood and immune disorders",1.7
"145","Albania",2019,"Alcohol use disorders",0.5
"146","Albania",2019,"Drug use disorders",0.7
"147","Albania",2019,"Eating disorders",0
"148","Albania",2019,"Alzheimer disease and other dementias",36.9
"149","Albania",2019,"Parkinson disease",7.2
"150","Albania",2019,"Epilepsy",1.2
"151","Albania",2019,"Multiple sclerosis",0.9
"152","Albania",2019,"Other neurological conditions",1.9
"153","Albania",2019,"Rheumatic heart disease",1.1
"154","Albania",2019,"Hypertensive heart disease",8.5
"155","Albania",2019,"Ischaemic heart disease",178.8
"156","Albania",2019,"Stroke",176.1
"157","Albania",2019,"Cardiomyopathy, myocarditis, endocarditis",9.6
"158","Albania",2019,"Other circulatory diseases",19.5
"159","Albania",2019,"Chronic obstructive pulmonary disease",17.5
"160","Albania",2019,"Asthma",3.9
"161","Albania",2019,"Other respiratory diseases",1.8
"162","Albania",2019,"Peptic ulcer disease",1.2
"163","Albania",2019,"Cirrhosis of the liver",8.3
"164","Albania",2019,"Appendicitis",0.1
"165","Albania",2019,"Gastritis and duodenitis",0
"166","Albania",2019,"Paralytic ileus and intestinal obstruction",1
"167","Albania",2019,"Inflammatory bowel disease",0.3
"168","Albania",2019,"Gallbladder and biliary diseases",0.7
"169","Albania",2019,"Pancreatitis",0.8
"170","Albania",2019,"Other digestive diseases",1.8
"171","Albania",2019,"Kidney diseases",8.4
"172","Albania",2019,"Urolithiasis",0
"173","Albania",2019,"Other urinary diseases",0.7
"174","Albania",2019,"Gynecological diseases",0.1
"175","Albania",2019,"Rheumatoid arthritis",0.2
"176","Albania",2019,"Other musculoskeletal disorders",0.8
"177","Albania",2019,"Neural tube defects",0.3
"178","Albania",2019,"Cleft lip and cleft palate",0
"179","Albania",2019,"Down syndrome",0.1
"180","Albania",2019,"Congenital heart anomalies",2.7
"181","Albania",2019,"Other chromosomal anomalies",0.3
"182","Albania",2019,"Other congenital anomalies",1
"183","Albania",2019,"Road injury",9.9
"184","Albania",2019,"Poisonings",0.3
"185","Albania",2019,"Falls",2.9
"186","Albania",2019,"Fire, heat and hot substances",0.5
"187","Albania",2019,"Drowning",0.9
"188","Albania",2019,"Exposure to mechanical forces",1.3
"189","Albania",2019,"Natural disasters",1.7
"190","Albania",2019,"Other unintentional injuries",2.9
"191","Albania",2019,"Self-harm",3.7
"192","Albania",2019,"Interpersonal violence",3.3
